"","","","","","Площади","","","",""
"Этаж","№№","Характеристики комнат и","без","в т.ч.","","","летних","","Высота"
"","комн.","помещений","летних","основная","вспом.","лодж.","балк.","проч.",""
"","","","","(жилая)","","","","",""
"9","1","жилая изолированная","17.9","17.9","","","","","255"
"9","2","жилая изолированная","11.9","11.9","","","","","255"
"9","3 а","лоджия","","","","1.5","","","255"
"9","3","жилая изолированная","14.1","14.1","","","","","255"
"9","4","коридор","8.4","","8.4","","","","255"
"9","5","кухня","10.9","","10.9","","","","255"
"9","6","уборная","0.9","","0.9","","","","255"
"9","7","ванная","2.1","","2.1","","","","255"
"","","Итого по квартире","66.2","43.9","22.3","1.5","0.0","0.0",""
"","","Общая площадь ( с летними )","67.7","","","","","",""
