"Этаж","№№комнат","Характеристикикомнатипомещений","Площадьобщая,квм","","","Площадьпомещенийвспомогательногоиспользования(скоэф),квм","","","Высота,см"
"","","","Всего","втомчисле","","втч","","",""
"","","","","основная(жилая)","вспом","лоджий","балконов","прочих",""
"7","1","жилаяизолированная","17,9","17,9","","","","","265"
"","1а","лоджия","","","","2,0","","","265"
"","2","жилаяизолированная","13,9","13,9","","","","","265"
"","3","кухня","10,1","","10,1","","","","265"
"","4","уборная","1,1","","1,1","","","","265"
"","5","ванная","2,9","","2,9","","","","265"
"","6","коридор","9,9","","9,9","","","","265"
"Итогопоквартире","","","558","318","240","20","00","00",""
