"","Квартира № 459","","","","","","","","лист 1"
"","","","","","Площади","","","",""
"Этаж","№№","Характеристики комнат и","без","в т.ч.","","","летних","","Высота"
"","комн.","помещений","летних","основная","вспом.","лодж.","балк.","проч.",""
"","","","","(жилая)","","","","",""
"12","1","жилая изолированная","13.1","13.1","","","","","265"
"12","2","жилая изолированная","16.8","16.8","","","","","265"
"12","3 а","балкон","","","","","1.0","","265"
"12","3","кухня","8.5","","8.5","","","","265"
"12","4","уборная","1.0","","1.0","","","","265"
"12","5","ванная","3.0","","3.0","","","","265"
"12","6","коридор","8.8","","8.8","","","","265"
"12","7","шкаф встроенный","0.2","","0.2","","","","265"
"12","8","шкаф встроенный","0.3","","0.3","","","","265"
"","","Итого по квартире","51.7","29.9","21.8","0.0","1.0","0.0",""
"","","Общая площадь ( с летними )","52.7","","","","","",""
